# Pathway	SRR22212915	SRR22212916	SRR22212917	SRR22212919	SRR22212920	SRR22212921	SRR22212922	SRR22212927	SRR22212929	SRR22212932	SRR22212934	SRR22212935	SRR22212936	SRR22212938	SRR22212939	SRR22212940	SRR22212941	SRR22212944	SRR22212945	SRR22212946	SRR22212947	SRR22212950	SRR22212951	SRR22212953	SRR22212954	SRR22212957	SRR22212958	SRR22212960	SRR22212967	SRR22212971	SRR22212972	SRR22212973	SRR22212974	SRR22212977	SRR22212978	SRR22212981	SRR22212982	SRR22212984	SRR22212985	SRR22212987	SRR22212988	SRR22212990	SRR22212993	SRR22212994	SRR22212996	SRR22212997	SRR22213000	SRR22213002	SRR22213003	SRR22213004	SRR22213005	SRR22213008	SRR22213011	SRR22213015	SRR22213018	SRR22213019	SRR22213021	SRR22213022	SRR22213025	SRR22213030	SRR22213032	SRR22213034	SRR22213035	SRR22213037	SRR22213038	SRR22213040	SRR22213043	SRR22213044	SRR22213046	SRR22213049	SRR22213051	SRR22213053	SRR22213054	SRR22213055	SRR22213059	SRR22213065	SRR22213066	SRR22213068	SRR22213073	SRR22213074	SRR22213075	SRR22213078	SRR22213079	SRR22213080	SRR22213082	SRR22213083	SRR22213084	SRR22213085	SRR22213087	SRR22213088	SRR22213090	SRR22213091	SRR22213093	SRR22213094	SRR22213096	SRR22213098	SRR22213099	SRR22213101	SRR22213103	SRR22213104	SRR22213105	SRR22213107	SRR22213108	SRR22213109	SRR22213110	SRR22213114	SRR22213116	SRR22213117	SRR22213119	SRR22213122	SRR22213123	SRR22213124	SRR22213125	SRR22213126	SRR22213129	SRR22213131
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	321.478	211.351	620.331	265.089	339.463	417.22	312.272	482.587	176.556	180.988	642.534	220.83	542.821	354.951	126.391	602.085	249.189	161.99	108.56	624.982	237.284	694.527	373.642	142.63	149.477	470.596	184.18	265.68	200.354	105.78	361.634	420.113	238.825	523.808	158.208	513.614	392.651	195.176	109.128	326.866	425.297	381.047	252.064	196.786	409.934	173.444	280.677	619.174	326.008	270.492	408.078	239.704	831.876	120.193	362.443	387.839	344.829	438.291	161.797	256.277	172.283	167.272	324.078	412.369	552.783	45.2242	577.483	470.954	709.287	187.368	203.797	387.383	255.921	522.248	272.69	108.984	477.671	473.032	732.452	511.877	532.435	700.162	364.652	515.291	701.521	392.599	466.607	346.069	184.4	448.784	188.749	183.506	0	407.795	337.505	248.954	455.179	181	232.61	277.961	211.714	233.115	433.996	471.575	456.856	333.085	169.129	751.465	168.731	191.834	334.529	343.133	211.276	484.339	112.696	563.128
PWY-7858: (5Z)-dodecenoate biosynthesis II	63.7168	422.194	0	300.048	149.741	108.696	250.893	310.363	201.457	265.92	0	238.168	18.8516	105.85	265.706	0	174.513	221.487	195.31	4.5983	226.405	0	24.4839	271.151	310.788	644.447	279.588	156.769	403.366	312.938	9.19021	428.241	354.545	82.1994	207.175	532.653	71.7502	214.488	308.394	7.12112	121.896	6.83779	298.037	295.005	167.142	305.823	177.286	0	0	80.0134	2.93357	262.665	0	254.676	130.637	27.0793	290.719	562.1	302.769	164.956	355.725	367.976	8.6849	83.2173	518.581	0	232.078	5.05065	0	330.804	159.33	9.22413	189.713	2.45046	16.3572	24.7325	7.92711	111.205	0	80.7261	80.3515	24.0363	14.7331	52.0505	41.0231	1.57993	0	85.2271	277.888	201.563	367.616	368.191	0	19.9814	103.222	391.627	13.3354	217.513	357.317	255.291	355.455	192.442	72.3348	38.952	40.6046	52.2181	298.581	0	273.344	311.361	426.585	450.514	232.726	0	265.736	0
PWY-7873: D-erythronate degradation II	0	0	0	0	0	0	0	0	33.0768	0	0	0	0	0	0	0	23.1157	0	0	0	0	0	2.87588	0	1.52145	0	42.9463	5.28528	0	0	0.258748	0	0	0	0	0	7.61473	16.8953	0	0	0	0.741448	197.593	157.626	0	0	20.8273	0	0	3.68886	0	5.85948	0	0	0	5.4278	0	0	10.6129	0	0	0	0	0	0	0	0	0	0	0	0	0.416992	0	0	0	0	0.344205	0	0	6.52818	0	0	1.25196	0	0	0	0	0	25.8725	0	0	4.98689	0	1.92721	0	0	0	0	0	0	0	0	6.57668	0	0	7.63452	0	0	45.222	0	0	0	34.1867	0	0	0
PWY-7874: L-threonate degradation	14.7579	0	0	0	0	0	0	0	33.9992	0	0	0	0	0	0	0	26.3982	0	0	0	50.5128	0	2.87588	42.6571	61.503	0	65.4765	6.32312	0	0	0.45928	0	0	0	0	0	7.61473	25.8902	0	0	0	0.741448	212.635	157.626	0	0	22.7067	0	0	13.6775	0	61.4467	0	0	0	5.47846	0	0	20.1441	14.9739	6.54573	0	0	0	0	0	0	0	0	0	38.4818	0.416992	30.7726	0	0	0	0.344205	0	0	14.9704	0	0	1.98645	0	0	0.401861	0	0	41.6281	0	0	4.98689	0	2.16074	11.1009	0	0	0	0	0	0	14.977	9.04575	6.62366	0	8.89415	0	0	56.5881	0	0	0	40.4507	0	0	0
PWY-7883: anhydromuropeptides recycling II	30.4569	150.82	0	221.574	124.483	101.478	74.1969	0	91.6998	87.6536	0	69.6734	0	13.675	55.909	0	85.522	10.2039	9.24842	22.6038	0	0	11.854	94.0369	107.615	0	121.982	153.009	0	43.3723	1.0456	0	229.103	0	38.9321	306.956	73.1647	78.5707	40.677	4.49786	98.1011	8.20462	329.155	320.127	79.7104	154.852	54.6667	0	0	7.19228	11.0373	75.9756	0	82.7895	0	8.07423	190.973	0	211.869	0	186.564	208.098	15.9237	9.00447	0	0	141.681	5.67035	0	105.228	128.116	31.5442	83.0854	22.0691	0	0	31.5608	9.56759	0	0	56.1287	0	6.30346	0	0	24.566	0.809353	53.6183	160.113	0	163.005	196.258	0	10.7288	0	0	34.2802	191.639	191.495	83.7793	241.384	57.0818	63.4539	16.6416	0	36.2125	186.378	0	145.259	234.242	0	0	97.1871	0	75.137	0
PWY-7942: 5-oxo-L-proline metabolism	70.9344	104.797	0	100.614	118.947	53.2658	65.4973	0	102.698	78.7033	0	187.423	0	46.7488	47.4574	0	50.5948	155.546	38.9347	0.914904	180.456	0	12.2635	30.1417	0	0	24.7738	117.167	388.421	0	8.56837	0	0	50.8392	82.2648	0	29.3612	133.256	0	5.14766	106.233	4.76928	161.844	36.5021	71.2959	146.124	90.5285	0	0	79.1594	4.59574	273.635	0	54.5	0	30.7113	148.509	0	139.876	102.372	145.328	154.421	9.06992	49.2877	0	0	0	2.79565	0	10.6491	107.014	3.43654	87.8813	2.69009	0	0	7.39646	0	0	97.4003	2.22352	0	6.38077	0	0	1.71115	0.618669	111.045	0	0	122.152	148.355	0	7.32056	126.15	0	1.53932	159.878	173.702	62.6156	187.442	65.6985	90.251	48.8184	0	28.7256	104.168	0	53.5638	162.589	0	0	112.103	0	118.106	0
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	210.198	169.647	0	225.046	197.196	137.896	148.931	131.368	264.975	359.691	0	353.196	468.045	394.582	229.975	252.534	346.157	238.027	183.96	763.983	307.058	550.154	384.661	210.243	226.262	0	248.914	318.088	322.185	215.714	404.274	0	226.617	35.3634	237.115	559.932	374.208	267.337	220.786	379.259	206.315	453.246	239.405	193.996	166.83	208.682	269.3	560.634	0	374.317	429.879	314.994	0	235.399	394.86	762.985	299.652	350.888	219.525	549.814	206.638	203.195	353.285	127.299	355.647	338.84	587.748	512.253	129.364	390.096	284.953	427.091	341.592	554.314	372.232	496.036	568.348	504.702	55.0256	511.961	579.466	238.952	404.679	112.291	515.604	475.01	505.896	207.245	253.551	0	203.503	205.25	479.761	476.988	484.751	188.784	452.873	181.14	267.803	145.375	223.532	212.033	442.085	261.868	244.986	386.391	169.408	0	240.972	282.865	323.173	311.579	243.827	0	202.396	282.357
PWY-7977: L-methionine biosynthesis IV	93.027	526.588	0	387.622	356.813	234.047	253.933	100.289	250.404	438.59	0	416.639	101.923	213.743	345.034	0	339.481	323.495	218.055	672.269	414.061	60.3447	328.094	274.795	281.088	0	323.067	444.889	574.11	314.036	430.747	0	364.317	21.3521	352.577	596.516	339.633	275.771	318.189	406.855	197.838	230.258	278.444	223.281	187.875	450.449	166.654	41.1465	0	441.08	448.328	487.91	0	389.723	248.233	717.38	391.145	118.458	388.163	581.163	352.761	360.474	378.235	329.582	391.424	0	321.1	408.275	11.5534	531.493	387.561	450.117	408.707	429.726	87.0773	0	466.495	121.748	53.8004	227.436	450.548	161.305	366.072	33.4407	576.051	451.499	363.575	802.422	340.703	0	588.95	334.233	520.28	455.411	446.473	551.368	388.942	545.27	702.414	251.224	370.195	151.717	311.006	55.5371	27.0827	367.356	328.417	0	336.56	574.85	515.101	502.972	381.63	7.57482	488.453	85.4628
PWY-7992: superpathway of menaquinol-8 biosynthesis III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.93494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.1672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.8574	0	0	46.9173	0	0	0	0	0	37.66	0	0	65.8424	75.4859	0	0	0	0	0	0	106.189	0	0	11.5199	0	0	0	0	0	0	0	0	16.8073	0	0	0	0	0	0	0	0	0	0
PWY-8004: Entner-Doudoroff pathway I	203.863	219.076	0	241.21	179.753	150.349	226.177	332.946	381.877	388.142	0	379.249	0	153.034	309.169	11.061	267.672	263.787	310.69	143.796	240.172	0	126.851	361.678	426.346	0	406.28	144.508	0	315.923	218.746	45.4314	254.508	131.916	241.943	0	129.676	347.1	249.779	246.769	207.152	158.973	301.41	250.839	207.605	277.082	251.432	26.5507	0	200.686	146.976	342.306	0	264.644	311.597	125.148	270.611	0	298.057	180.537	272.568	288.748	179.738	117.229	160.389	48.3743	335.994	111.533	0	489.056	336.794	264.07	369.695	83.2469	81.8726	109.765	143.626	63.1022	0	157.235	85.6063	39.1836	77.4168	77.3981	0	129.529	74.3039	104.347	416.073	287.245	231.693	281.108	0	71.4803	165.797	334.989	172.264	188.977	256.871	191.784	298.123	338.6	211.437	151.5	0	193.293	194.529	0	347.758	352.631	452.759	438.208	329.186	0	179.983	65.7831
PWY-8011: L-serine biosynthesis II	0	0	29.5939	0	44.1647	8.01948	0	41.7218	0	0	47.8659	0	30.9934	0	0	56.9118	0	2.70291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.1623	31.1198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.802	0	0	0	0	16.2886	0	0	0	0	0	14.5832	0	0	41.0944	0	0	0	0	0	0	0	0	0	0	0	0	0	27.4495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.3805
PWY-801: homocysteine and cysteine interconversion	0	0	0	0	0	0	9.81079	0	11.0656	11.4296	0	7.96426	0	0	0	0	3.25395	16.9689	30.7283	1.88281	92.3455	29.2442	11.763	0	0	0	13.0417	67.1593	0	29.4823	2.26158	0	0	0	83.8294	0	10.7968	31.6827	6.68795	1.51474	0	4.69367	15.9489	55.85	0	0	55.197	28.7535	0	24.3301	1.97181	21.835	0	14.9834	0	12.8257	0	0	0	0	9.21344	0	2.87367	26.3434	0	0	10.3003	1.55278	0	0	81.2486	2.62954	0	5.22053	0	0	1.94712	0	49.9905	28.963	0.148442	162.263	7.31665	0	0	1.36207	0.955039	10.7992	0	0	0	19.4862	0	11.0768	58.4537	0	3.33339	126.938	173.835	0	0	89.4918	31.1228	18.2701	0	3.28411	0	0	51.4472	40.5119	0	0	121.425	0	0	0
PWY-8073: lipid IVA biosynthesis (P. putida)	76.1232	198.826	0	206.113	84.5697	74.7057	88.2193	53.4682	221.108	255.188	0	210.332	0	232.729	198.923	79.3082	199.72	162.481	149.747	23.3699	158.874	0	156.015	218.776	234.833	0	260.038	137.331	319.496	208.869	26.3935	0	246.647	8.10481	170.232	389.106	148.433	198.024	194.247	16.5544	91.2456	8.72717	214.332	201.947	81.5514	255.303	116.139	0	0	208.874	61.2647	266.924	0	195.76	0	70.0243	194.823	0	222.287	186.686	233.458	226.445	30.448	39.8897	0	0	280.469	30.3084	0	271.143	176.776	50.9337	246.605	30.0187	0	0	73.8337	5.79936	0	124.399	103.726	0	95.0778	0	0	25	6.38156	115.524	279.716	0	208.957	198.392	343.294	38.7488	136.968	236.21	100.324	169.814	227.284	93.9615	254.946	90.6079	141.662	48.4015	0	152.111	203.607	0	256.202	133.906	377.725	385.777	229.057	0	267.272	0
PWY-8085: picolinate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-8086: (S)-lactate fermentation to propanoate, acetate and hydrogen	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05517	0	0	0	16.2238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89618	3.03606	0	1.07974	0	0	23.6937	0	0	0	14.847	0	0	16.2819	0.373397	0	0	0	0	8.04586	0	0	0	0	0	0	2.19577	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09999	0	0	24.0725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217527	0	0	0	0	0	16.6901	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-8131: 5'-deoxyadenosine degradation II	46.258	103.593	0	116.745	103.169	32.7842	44.8623	0	0	0	0	0	0	44.69	148.81	0	33.6939	125.196	114.485	70.9037	0	0	8.47895	0	0	0	0	87.5844	223.129	140.029	40.7096	0	147.137	17.6755	120.592	0	27.7991	18.0022	125.085	41.447	49.6202	94.6178	0	0	44.4738	162.456	11.1847	0	0	45.076	29.8895	27.6599	0	144.192	0	35.1117	108.33	0	67.935	63.068	69.1463	102.566	24.4469	14.766	0	0	184.903	14.1587	0	0	0	1.03614	0	9.82342	0	0	31.442	0	0	0	68.5031	0	26.4455	0	0	28.5818	23.679	59.1546	0	0	134.562	72.8081	0	13.8307	47.5864	248.271	2.81803	99.2921	134.569	85.9236	195.905	0	54.052	0	0	18.5646	109.903	0	14.4651	113.541	345.091	330.266	10.3713	0	148.742	0
PWY-8134: bile acid 7&beta;-dehydroxylation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591202	0	0	0	0.362295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2515	0	0	0	0	0	0	0	0	0	0
PWY-8173: anteiso-branched-chain fatty acid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.18355	0	0	3.29937	0	0	0	0	0	0	0	0	0	0
PWY-8174: odd iso-branched-chain fatty acid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.18355	0	0	3.29937	0	0	0	0	0	0	0	0	0	0
PWY-8175: even iso-branched-chain fatty acid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.18355	0	0	3.29937	0	0	0	0	0	0	0	0	0	0
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	288.79	415.982	33.1625	376.323	240.887	174.366	393.241	276.724	665.119	978.173	93.057	699.361	239.579	207.444	628.479	78.0989	645.959	417.483	445.25	301.103	472.327	1001.66	293.046	638.483	774.305	163.709	950.942	447.042	688.168	711.112	387.319	131.279	348.317	127.406	731.085	589.715	242.048	587.102	714.496	372.785	379.149	398.551	613.493	513.963	417.573	625.512	361.737	160.221	431.858	469.306	251.369	690.533	982.811	611.248	686.767	606.732	406.36	372.891	505.703	417.07	532.366	610.447	300.716	219.21	610.723	157.11	527.489	406.271	54.7512	758.792	675.956	348.755	695.341	379.978	507.252	180.302	311.126	394.776	870.506	370.174	528.88	896.063	251.556	106.752	788.766	253.111	189.075	426.673	854.208	388.44	459.564	706.818	456.895	413.814	572.692	600.039	325.033	445.257	467.326	355.563	495.125	465.866	371.865	280.178	218.951	403.013	596.974	920.376	731.83	535.171	455.527	417.668	651.792	0	420.371	509.731
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	178.254	62.6106	63.8891	278.618	271.342	166.952	128.079	300.565	476.951	386.748	192.469	258.07	293.63	143.338	313.442	110.747	319.24	257.37	221.543	38.1157	224.261	850.644	50.4607	664.393	589.988	703.905	509.75	122.794	0	215.211	54.9974	490.447	254.251	95.009	246.003	138.647	220.977	365.447	221.86	11.5705	0	90.8868	60.6162	54.035	0	257.214	256.091	72.4993	564.963	165.74	174.682	280.575	1275.91	245.672	613.43	34.8039	170.836	796.757	136.555	122.785	75.099	38.1206	175.931	114.061	959.417	8.66665	215.645	205.682	14.1663	452.547	414.333	15.7049	430.766	180.64	38.5571	70.1085	309.828	284.363	1447.56	70.3216	35.7283	1267.6	221.667	107.042	805.659	141.8	58.108	28.2325	524.328	600.901	65.1419	125.643	0	286.881	185.663	1185.42	106.286	127.965	347.956	163.725	10.1469	322.397	108.476	92.0804	141.522	118.559	53.8174	1449.15	502.892	283.668	0	0	377.528	0	58.1583	135.447
PWY-8188: L-alanine degradation VI (reductive Stickland reaction)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43334	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35352	0	0	0	3.00173	0	1.75377	0	0	4.10917	0	0	0	0	0	0	0	0	0	0	1.38163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-8189: L-alanine degradation V (oxidative Stickland reaction)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43334	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35352	0	0	0	3.00173	0	1.75377	0	0	4.10917	0	0	0	0	0	0	0	0	0	0	1.38163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-8190: L-glutamate degradation XI (reductive Stickland reaction)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9	0	0	0.251231	0	0	1.61936	0	0	0	0	0	0	0	1.47122	0	0	0	0	0	0	0	0	5.01138	0	3.37158	0	0	0	0	0	0	0	0	0.213268	0	0	0	0	0.93358	0	0	0	0	0	0	3.18385	7.80555	0	0	0	0.576865	0	0	0	3.66872	0	0	0	0	2.80011	0	0	0	3.852	0	0	0	0	0.473094	1.01048	0	0	0	0	0	0	4.75594	0	0	0	0	0	0	0	0	12.38	0	0	5.06738	0	0	0	0	0	0	0	0	0	0
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	29.6608	0	21.6656	0	82.9257	0	32.5118	68.693	0	0	121.468	0	0	85.7063	0	88.6114	120.046	0	0	6.27182	51.7655	295.237	45.6522	0	0	0	46.315	176.036	0	8.94116	20.4103	0	0	67.7954	48.0394	0	62.034	0	0	27.4317	0	17.0587	0	0	0	0	106.994	44.2086	265.859	124.025	12.292	29.9493	0	0	0	64.7029	0	55.8531	19.1972	136.909	30.7676	0	17.4504	46.119	0	0	0	13.273	0	0	143.018	7.32579	164.63	8.64713	0	0	14.1276	0	197.144	36.7234	12.1046	436.491	29.8844	0	518.148	4.45322	7.93732	33.0526	0	279.16	174.388	0	0	37.7049	137.772	0	15.4438	41.1167	77.8448	108.77	0	0	109.772	43.71	0	100.707	0	363.578	34.9685	0	0	0	69.8378	0	0	24.4908
PWY-822: fructan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.410947	0	0	0.716984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68344	0	0	0	0	0	0	0	0	0.67494	0	0	0	0	0	0	0	0	0	16.5129	0	0	0	0	17.5681	0	0	5.25541	35.7904	11.5994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.441126	2.70897	0	3.40611	0	0	0	0	0	0	17.1342	0	0	0	0	0	0	0	0	0	0	0	0
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	142.198	226.53	73.4777	292.632	230.526	150.306	252.877	344.87	124.729	36.022	207.346	35.8511	192.857	394.293	179.333	154.053	115.474	163.474	152.136	100.839	209.073	925.173	260.462	34.8857	0	546.749	51.9833	223.512	373.629	185.105	347.776	395.25	259.556	157.098	219.662	634.57	334.58	126.181	180.023	316.56	206.092	70.9364	244.82	198.919	209.785	239.315	217.6	416.532	457.069	326.688	375.317	230.01	1109.15	190.372	654.568	214.301	310.094	554.608	240.329	159.19	225.358	259.909	316.913	200.843	595.057	43.6823	576.17	332.003	0	263.619	250.758	366.011	281.969	340.546	381.729	222.074	476.555	248.216	980.547	449.689	355.956	902.147	334.672	195.224	758.614	368.571	170.144	124.249	0	522.432	234.417	263.017	524.159	437.732	222.096	398.806	295.773	249.099	353.261	244.327	268.853	141.421	296.864	159.636	251.218	219.195	215.403	1060.09	61.3286	354.419	391.494	369.04	83.4505	0	181.637	259.491
PWY-922: mevalonate pathway I (eukaryotes and bacteria)	7.78536	0	0	23.0904	3.58757	0	85.1214	157.296	4.62326	0	0	0	53.7555	0	0	0	0.342184	3.87271	19.1192	0	53.4124	0	0	0	0	553.421	4.71782	0	0	10.0149	0	294.812	0	40.7053	0	112.55	1.94216	14.6186	0	0	0	0	0	27.2645	0	0	36.3595	23.1617	0	0	0	0	0	3.79902	212.135	0	14.9025	485.634	0	0	0	0	0	38.7945	402.716	0	11.6482	0	0	0	18.1873	0	0	0.583037	48.408	29.7385	0	128.503	0	18.7096	1.52249	0	0	67.3826	110.258	0	0	5.79513	0	197.629	0	31.787	0	0	0	0	0	25.6336	30.8576	108.689	0	57.3072	1.20845	12.3337	121.674	0	0	0	0	16.5862	0	0	36.8538	0	0	0
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)	469.961	233.03	910.881	265.729	444.733	494.869	351.972	530.781	239.065	262.62	777.035	322.856	702.918	137.288	178.656	805.47	272.29	223.892	97.9934	251.946	294.771	784.897	156.963	202.534	207.12	61.0798	240.179	214.053	298.622	189.469	273.925	402.663	272.196	795.846	173.517	499.835	384.035	278.26	140.314	242.033	542.953	411.186	279.473	176.42	501.57	234.836	302.17	628.798	434.606	297.708	132.126	291.635	1079.28	238.514	547.882	208.739	340.422	299.462	209.46	173.969	190.358	238.27	191.926	539.957	470.251	37.3448	462.611	130.02	856.238	249.506	279.832	46.7202	196.304	52.2845	359.907	832.936	314.712	660.308	990.871	406.636	156.685	831.968	117.096	723.156	811.877	164.555	603.751	468.849	208.567	408.829	227.135	210.221	0	168.224	385.697	538.157	108.244	248.58	310.588	313.557	242.134	306.708	465.698	668.104	624.659	282.485	191.535	977.783	220.45	366.176	357.692	366.717	256.176	740.788	229.136	676.681
PWY0-1061: superpathway of L-alanine biosynthesis	366.006	282.55	493.41	331.969	335.982	347.254	304.465	312.002	243.41	244.744	379.98	268.808	457.401	173.725	137.864	419.571	200.963	168.921	158.91	152.687	237.483	0	52.8132	311.734	251.214	0	285.96	213.378	460.386	135.639	85.9372	160.021	352.446	415.783	140.31	586.6	180.092	267.444	174.776	80.9127	393.984	198.113	371.294	328.046	337.214	253.549	251.196	364.622	0	116.813	45.9878	283.919	0	201.815	74.824	55.9503	359.635	0	296.414	202.306	287.525	348.457	52.1848	311.909	0	596.271	368.864	103.049	411.988	178.267	395.97	67.9879	217.238	204.273	605.172	542.128	44.7601	334.238	0	262.728	87.9528	0	33.9098	425.847	408.228	154.086	414.732	294.608	277.783	328.008	308.038	314.953	0	52.0097	321.509	91.5811	94.2595	275.989	255.611	284.274	339.537	250.62	275.179	388.256	342.492	150.275	252.278	0	286.489	222.637	8.6942	0	259.862	336.33	212.495	382.929
PWY0-1221: putrescine degradation II	0	0	0	0	0	0	0	0	0	59.2639	0	46.5951	0	9.45085	46.1792	0	0	34.4586	28.6187	0	40.111	0	0	0	0	0	0	0	0	41.8765	1.51406	0	0	0	34.1013	0	1.48208	3.53358	40.2728	0	0	0	0	0	0	0	0	0	0	18.2633	0.800985	105.063	0	40.6678	0	6.6223	0	0	0	18.2811	0	0	1.57652	0	0	0	0	0	0	59.9726	0	0	0	0	0	0	0.450822	0	0	12.2684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.2734	0	0	0	0	0	0	0	14.2233	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	68.807	168.101	0	173.055	71.7554	51.3638	74.3808	48.1916	153.147	187.879	0	126.779	6.57667	60.0444	161.239	0	144.384	102.127	79.4277	6.49609	96.5168	6.34194	58.8599	161.685	178.951	0	196.429	131.515	316.415	161.734	15.0986	0	227.664	18.5907	185.465	405.786	60.1757	129.812	220.376	13.6368	99.8801	7.16856	240.814	218.913	87.6918	160.549	124.623	173.974	0	27.5263	24.715	388.777	0	204.127	15.3381	418.871	163.361	0	155.702	354.971	197.88	190.408	11.8756	22.3152	0	0	354.335	10.6068	0	242.205	111.43	7.79949	131.856	13.9682	11.053	9.91007	17.8014	6.34536	0	314.581	107.798	0	7.3771	3.80639	12.6496	14.6273	50.9269	46.9596	178.42	0	205.115	184.256	0	39.6761	218.665	259.231	26.5358	134.746	172.444	83.4414	225.36	78.6699	101.544	42.2664	0	136.942	231.538	0	168.388	182.76	286.407	324.189	151.185	0	114.622	30.27
